YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,EW7,2134,8162
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,EW7,6494,7856
2025-11,WEEKDAY,12,TRAIN,EW14/NS26,65817,51510
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,CC6,8194,14234
2025-11,WEEKDAY,14,TRAIN,PE4,1356,2004
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,BP4,819,852
2025-11,WEEKDAY,16,TRAIN,BP9,1897,2490
2025-11,WEEKDAY,13,TRAIN,DT31,8332,7539
2025-11,WEEKDAY,14,TRAIN,BP6/DT1,26495,28402
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,BP5,1073,856
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,NS19,12045,7803
2025-11,WEEKDAY,23,TRAIN,NS19,4551,16455
2025-11,WEEKDAY,9,TRAIN,CC5,2987,11924
2025-11,WEEKDAY,17,TRAIN,CG1/DT35,54937,10568
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,BP11,2465,1176
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,DT24,2390,1916
2025-11,WEEKDAY,15,TRAIN,NS4/BP1,29154,36492
2025-11,WEEKDAY,5,TRAIN,EW8/CC9,2882,1179
2025-11,WEEKDAY,14,TRAIN,SW1,3239,3397
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,SE2,2562,2556
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,CC6,51,25
2025-11,WEEKDAY,10,TRAIN,NS15,15077,21499
2025-11,WEEKDAY,8,TRAIN,CC20,14701,7655
2025-11,WEEKDAY,15,TRAIN,EW26,19268,21293
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,CC5,1127,1972
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,EW1,10638,17976
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,EW32,386,152
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,CC25,3869,3731
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,NS3,4266,11129
2025-11,WEEKDAY,16,TRAIN,DT28,9452,8027
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,NS24/NE6/CC1,8750,20593
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2712,2526
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,DT31,474,9
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,EW5,17380,18248
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,TE19,1945,1450
2025-11,WEEKDAY,8,TRAIN,DT25,12839,11076
2025-11,WEEKDAY,16,TRAIN,NE5,14304,12810
2025-11,WEEKDAY,14,TRAIN,PE5,5658,5660
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,TE29,506,1837
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,TE16,4353,4068
2025-11,WEEKENDS/HOLIDAY,12,TRAIN,TE22,1750,3762
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,CC20,3239,2828
2025-11,WEEKDAY,14,TRAIN,NS17/CC15,24042,16178
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,NE18,5742,3701
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,NE12/CC13,243,1589
2025-11,WEEKDAY,12,TRAIN,BP8,1503,1575
2025-11,WEEKDAY,11,TRAIN,EW24/NS1,33847,64164
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,BP13,166,494
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,CC8,4291,3322
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,55654,54649
2025-11,WEEKENDS/HOLIDAY,0,TRAIN,DT23,35,127
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,PE7,3000,844
2025-11,WEEKDAY,15,TRAIN,NE1/CC29,49991,42539
2025-11,WEEKDAY,21,TRAIN,BP7,384,1216
2025-11,WEEKENDS/HOLIDAY,16,TRAIN,NS21/DT11,34559,35261
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,BP11,1513,1560
2025-11,WEEKDAY,11,TRAIN,EW4,14059,6204
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,EW25,4151,7554
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,NE9,11740,12456
2025-11,WEEKDAY,17,TRAIN,SW1,7704,4037
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,EW2/DT32,10013,5417
2025-11,WEEKDAY,21,TRAIN,NS3,9498,24464
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,NE1/CC29,51367,9618
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,CC12,4215,2502
2025-11,WEEKDAY,12,TRAIN,DT10,4221,2506
2025-11,WEEKDAY,16,TRAIN,PE5,4955,6527
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,SE1,1152,470
2025-11,WEEKDAY,12,TRAIN,TE19,10012,9057
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,SE2,122,1847
2025-11,WEEKDAY,15,TRAIN,SE1,2599,3170
2025-11,WEEKDAY,16,TRAIN,TE28,3269,4935
2025-11,WEEKENDS/HOLIDAY,20,TRAIN,BP13,230,598
2025-11,WEEKDAY,13,TRAIN,CC11,13467,16414
2025-11,WEEKDAY,20,TRAIN,DT7,2242,4182
2025-11,WEEKDAY,15,TRAIN,CC26,3790,2695
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,SE5,2053,789
2025-11,WEEKDAY,19,TRAIN,EW11,25858,29471
2025-11,WEEKDAY,6,TRAIN,DT30,10669,2450
2025-11,WEEKDAY,19,TRAIN,NE5,31092,16991
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,EW31,1202,367
2025-11,WEEKENDS/HOLIDAY,8,TRAIN,SE5,1538,562
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,BP5,368,562
2025-11,WEEKDAY,17,TRAIN,TE26,17401,16115
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,PW5,2881,360
2025-11,WEEKDAY,6,TRAIN,DT27,7035,6609
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,SE1,2306,2204
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,SE4,1943,2048
2025-11,WEEKDAY,20,TRAIN,PE4,986,2629
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,DT24,3057,1459
2025-11,WEEKDAY,21,TRAIN,SE1,1148,6285
2025-11,WEEKDAY,21,TRAIN,PW5,733,5064
2025-11,WEEKDAY,0,TRAIN,TE7,37,524
2025-11,WEEKDAY,11,TRAIN,PW1,1255,2368
2025-11,WEEKDAY,19,TRAIN,BP12,1428,5772
2025-11,WEEKDAY,22,TRAIN,DT6,2967,4341
2025-11,WEEKDAY,12,TRAIN,EW31,2267,1352
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,PE2,462,3214
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,EW6,6070,5499
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,PW4,2384,2811
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,CC2,5127,2980
2025-11,WEEKENDS/HOLIDAY,11,TRAIN,BP9,2256,1440
2025-11,WEEKDAY,21,TRAIN,EW25,5797,17783
2025-11,WEEKDAY,11,TRAIN,NE18,11006,15152
2025-11,WEEKDAY,22,TRAIN,PE7,465,4067
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,DT10,1971,1565
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,DT13,3723,4599
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,BP5,1343,885
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,PW3,70,564
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,DT4,773,253
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,CC28,765,2374
2025-11,WEEKENDS/HOLIDAY,14,TRAIN,DT31,3970,3942
2025-11,WEEKENDS/HOLIDAY,5,TRAIN,BP4,367,73
2025-11,WEEKDAY,14,TRAIN,CE1/DT16,25874,37412
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,EW23,24596,25518
2025-11,WEEKDAY,23,TRAIN,CC10/DT26,2163,7163
2025-11,WEEKDAY,13,TRAIN,NE1/CC29,49530,53012
2025-11,WEEKENDS/HOLIDAY,19,TRAIN,SW1,1245,1442
2025-11,WEEKDAY,5,TRAIN,NE10,1668,564
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,BP8,740,863
2025-11,WEEKDAY,12,TRAIN,PE5,6278,3930
2025-11,WEEKENDS/HOLIDAY,6,TRAIN,EW3,2700,1300
2025-11,WEEKENDS/HOLIDAY,10,TRAIN,PE1,2667,1073
2025-11,WEEKDAY,16,TRAIN,CG2,29655,18880
2025-11,WEEKENDS/HOLIDAY,15,TRAIN,TE28,1732,2599
2025-11,WEEKDAY,0,TRAIN,TE4,144,327
2025-11,WEEKENDS/HOLIDAY,7,TRAIN,EW11,5952,5060
2025-11,WEEKENDS/HOLIDAY,23,TRAIN,PW5,110,1456
2025-11,WEEKDAY,11,TRAIN,EW3,17699,10895
2025-11,WEEKDAY,7,TRAIN,NS5,112442,31993
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,EW33,4192,3840
2025-11,WEEKDAY,23,TRAIN,NE7/DT12,5360,5063
2025-11,WEEKENDS/HOLIDAY,21,TRAIN,TE22,6034,888
2025-11,WEEKDAY,5,TRAIN,DT31,2394,76
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,NE1/CC29,24441,41160
2025-11,WEEKDAY,22,TRAIN,DT23,3065,3103
2025-11,WEEKDAY,13,TRAIN,TE6,11420,8274
2025-11,WEEKDAY,0,TRAIN,DT20,175,249
2025-11,WEEKDAY,20,TRAIN,CC17/TE9,3770,7805
2025-11,WEEKDAY,14,TRAIN,DT8,4556,4144
2025-11,WEEKDAY,0,TRAIN,EW32,0,351
2025-11,WEEKENDS/HOLIDAY,22,TRAIN,DT34,688,2550
2025-11,WEEKENDS/HOLIDAY,17,TRAIN,SE2,2774,2954
2025-11,WEEKENDS/HOLIDAY,18,TRAIN,EW32,4833,3992
2025-11,WEEKENDS/HOLIDAY,9,TRAIN,NE10,8553,5876
2025-11,WEEKENDS/HOLIDAY,13,TRAIN,TE4,3197,2358
